step,actor/entropy,actor/grad_norm,actor/loss,actor/lr,actor/perf/cpu_memory_used_gb,actor/perf/max_memory_allocated_gb,actor/perf/max_memory_reserved_gb,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,num_turns/max,num_turns/mean,num_turns/min,perf/mfu/actor,perf/mfu/actor_infer,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/log_ppl_abs_diff,rollout_corr/log_ppl_diff,rollout_corr/log_ppl_diff_max,rollout_corr/log_ppl_diff_min,rollout_corr/ppl_ratio,rollout_corr/rollout_log_ppl,rollout_corr/rollout_ppl,rollout_corr/training_log_ppl,rollout_corr/training_ppl,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_s/adv,timing_s/agent_loop/compute_score/max,timing_s/agent_loop/compute_score/mean,timing_s/agent_loop/compute_score/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/num_preempted/max,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/num_preempted/min,timing_s/agent_loop/slowest/compute_score,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/num_preempted,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/tool_calls/min,timing_s/dump_rollout_generations,timing_s/gen,timing_s/old_log_prob,timing_s/reward,timing_s/save_checkpoint,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/update_actor,timing_s/update_weights,training/epoch,training/global_step,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,training/rollout_probs_diff_valid
1,0.16279876232147217,0.14874298870563507,0.051667146384716034,3e-06,52.29133987426758,11.204723834991455,11.291015625,0.0,0.0,0.05166714370716363,0.0,1.4999970197677612,-0.051667146384716034,-1.4999977350234985,1.4999970197677612,-0.051667146384716034,-1.4999977350234985,2.0,0.5665039420127869,-1.0,2.0,0.5665039420127869,-1.0,6250.0,6249.0,6287.0,6249.5,6212.0,75.0,2.0,2.0,2.0,0.010445203961758178,0.010360996268255311,64.71012680625664,96.57684675400378,12499.0,0.0,141.0,113.625,92.0,0.0,0.09375,512.0,276.96875,32.0,0.09375,512.0,276.96875,32.0,1.471939516301312e+16,0.0648198127746582,0.00565775902941823,-0.02126498334109783,0.01861146092414856,-0.018498431891202927,0.0018084421753883362,-0.04555979371070862,0.9817453622817993,0.14501717686653137,1.15775728225708,0.12651875615119934,1.136112093925476,0.0008732678630745514,2.1784430676948796,3.1672218929547706,0.010914975020568818,3.732429614989087,0.5196658067470707,0.008373602002393454,11.340577336028218,8.381521297338622,5.26393629796803,-1.0,-1.0,-1.0,0.015034112962894142,11.340577336028218,-1.0,119.0,512.0,0.0,0.0,0.0,0.0,0.02374572801636532,19.307540908979718,13.453894662030507,4.261801950633526e-05,,0.00018150400137528777,96.57684675400378,0.00017367402324452996,39.58710644004168,24.16628370701801,0.0,1.0,0.9716434478759766,0.6117671728134155,0.025440441444516182,0.04617069661617279,1.0
2,0.16267535090446472,0.15454500913619995,0.15191149711608887,3e-06,53.11910629272461,11.348706245422363,14.875,0.0,0.0,0.1519115052651614,0.0,1.4999949932098389,-0.15191148221492767,-1.4999977350234985,1.4999949932098389,-0.15191148221492767,-1.4999977350234985,1.4500000476837158,0.4613281190395355,-1.0,1.4500000476837158,0.4613281190395355,-1.0,6495.0,6494.0,7223.0,6494.5,5766.0,1457.0,2.0,2.0,2.0,0.010914690888316191,0.011560559100836474,77.06470386151179,84.27334012300707,12989.0,0.0,136.0,124.5,105.0,0.0,0.03125,512.0,281.40625,97.0,0.03125,512.0,281.40625,97.0,41674306748416.0,0.061489105224609375,0.0056381733156740665,-0.019529137760400772,0.018704287707805634,-0.01851581409573555,0.0030156075954437256,-0.04322369396686554,0.9817034006118774,0.15918318927288055,1.1734728813171387,0.1406673789024353,1.1518256664276123,0.0005558882121535043,0.9071232883910184,3.0311479498041436,0.007220431987661868,0.012865455995779485,0.010914162656263215,0.009347033046651632,6.7289435240090825,3.8024418728109595,1.3938454969902523,-1.0,-1.0,-1.0,0.012376564962323755,6.7289435240090825,-1.0,136.0,512.0,0.0,0.0,0.0,0.0,0.02213847398525104,8.16864521196112,12.49757246102672,3.4833967220038176e-05,,0.0001053389860317111,84.27334012300707,0.00017725798534229398,39.37158072000602,24.18777603597846,0.0,2.0,0.9753383994102478,0.5132192373275757,0.024502435699105263,0.04407227039337158,1.0
3,0.17838330566883087,0.09718875586986542,0.031094908714294434,3e-06,53.389747619628906,11.348706245422363,14.9375,0.0,0.0,0.031094915699213743,0.0,1.4999970197677612,-0.031094912439584732,-1.4999977350234985,1.4999970197677612,-0.031094912439584732,-1.4999977350234985,2.0,0.7984374761581421,-1.0,2.0,0.7984374761581421,-1.0,6080.0,6078.0,6896.0,6079.0,5262.0,1634.0,2.0,2.0,2.0,0.010280993743527108,0.010744714015404928,72.42195243207829,83.9386373310117,12158.0,0.0,152.0,117.5,84.0,0.0,0.09375,512.0,262.4375,132.0,0.09375,512.0,262.4375,132.0,8520813535821824.0,0.06967568397521973,0.006543816067278385,-0.02224024012684822,0.020163411274552345,-0.020046629011631012,0.001868516206741333,-0.05107666552066803,0.9802156090736389,0.16598859429359436,1.1825796365737915,0.14594197273254395,1.158848762512207,0.000588130450037359,0.9716392647042834,3.2154469734342666,0.007150490011554211,0.013378807983826846,0.010203491436186596,0.008298100030515343,6.74848856794415,3.5738816451466846,1.8700749289710075,-1.0,-1.0,-1.0,0.010896929015871137,6.74848856794415,-1.0,152.0,512.0,0.0,0.0,0.0,0.0,0.025916282029356807,8.159826544986572,12.569603506999556,3.390602068975568e-05,,0.00016052002320066094,83.9386373310117,0.00017055997159332037,39.09340430301381,24.06340966298012,0.0,3.0,0.972905695438385,0.37178412079811096,0.027643045410513878,0.04675598815083504,1.0
4,0.17549507319927216,0.09406348317861557,0.02585778385400772,3e-06,53.55514907836914,11.348706245422363,15.029296875,0.0,0.0,0.025857784785330296,0.0,1.4999977350234985,-0.02585775963962078,-1.2487385272979736,1.4999977350234985,-0.02585775963962078,-1.2487385272979736,2.0,0.717968761920929,0.0,2.0,0.717968761920929,0.0,5865.0,5864.0,5998.0,5864.5,5731.0,267.0,2.0,2.0,2.0,0.009765740077280686,0.01037136777502865,70.32435406232347,83.39216304500587,11729.0,0.0,179.0,120.25,93.0,0.0,0.0,412.0,246.28125,71.0,0.0,412.0,246.28125,71.0,4214689366016.0,0.06307566165924072,0.0054568639025092125,-0.020894186571240425,0.0201422069221735,-0.020085563883185387,0.0009063035249710083,-0.056264728307724,0.9801757335662842,0.15718437731266022,1.172661542892456,0.13709880411624908,1.1489067077636719,0.0006073345553667632,0.8724307416533029,3.384755118513612,0.007123426999896765,0.017868709983304143,0.010573522062259144,0.008798884984571487,5.432552648999263,3.3446057730634493,1.0374254810158163,-1.0,-1.0,-1.0,0.010660055035259575,5.432552648999263,-1.0,179.0,409.0,0.0,0.0,0.0,0.0,0.020847779989708215,6.875626674969681,12.557774242013693,2.2103020455688238e-05,,0.00010375003330409527,83.39216304500587,0.0001704909955151379,39.69979278504616,24.218554781982675,0.0,4.0,0.9753630757331848,0.2774973511695862,0.02576969563961029,0.044179871678352356,1.0
5,0.187281534075737,0.19182980060577393,0.12618257105350494,3e-06,53.57645034790039,11.348706245422363,15.029296875,0.0,0.0,0.1261825687251985,0.0,1.4999979734420776,-0.12618254125118256,-1.499998688697815,1.4999979734420776,-0.12618254125118256,-1.499998688697815,1.625,0.49140626192092896,-1.0,1.625,0.49140626192092896,-1.0,5659.0,5656.0,5737.0,5657.5,5578.0,159.0,2.0,2.0,2.0,0.009578857213326224,0.010205904134540292,67.62785189542238,83.65636112098582,11315.0,0.0,176.0,116.0,92.0,0.0,0.0625,512.0,237.59375,112.0,0.0625,512.0,237.59375,112.0,1.4711671738073088e+16,0.06646955013275146,0.006082211621105671,-0.02130570262670517,0.01849791407585144,-0.017826002091169357,0.010750606656074524,-0.0681237280368805,0.9824318885803223,0.1669052094221115,1.1846544742584229,0.14907920360565186,1.1628828048706055,0.0006318717634851064,1.0692642689744403,3.449281931947793,0.007149629003833979,0.012380278029013425,0.010730135152698494,0.008107914007268846,6.67435636499431,3.2313017995002156,1.5716911170165986,-1.0,-1.0,-1.0,0.011783630994614214,6.67435636499431,-1.0,92.0,512.0,0.0,0.0,0.0,0.0,0.024396485998295248,8.12961623701267,12.317420854989905,3.427400952205062e-05,,0.00015491800149902701,83.65636112098582,0.00017388799460604787,39.02862505998928,24.130089426995255,0.0,5.0,0.9747436046600342,0.5032420754432678,0.026712870225310326,0.046059850603342056,1.0
6,0.13939949870109558,0.10298927873373032,0.04342813044786453,3e-06,53.682830810546875,11.348706245422363,15.029296875,0.0,0.0,0.04342813204857521,0.0,1.4999949932098389,-0.043428126722574234,-1.4999977350234985,1.4999949932098389,-0.043428126722574234,-1.4999977350234985,2.0,0.5367187261581421,-1.0,2.0,0.5367187261581421,-1.0,6495.0,6493.0,6544.0,6494.0,6444.0,100.0,2.0,2.0,2.0,0.01092145059715203,0.011431826477639961,76.87434734770554,84.47551392699825,12988.0,0.0,138.0,117.0,85.0,0.0,0.09375,512.0,288.875,98.0,0.09375,512.0,288.875,98.0,1591760768.0,0.048711299896240234,0.004570704884827137,-0.015537296421825886,0.01567545346915722,-0.015318050980567932,0.005718447268009186,-0.0296352356672287,0.9848207235336304,0.13346923887729645,1.1436684131622314,0.11815118044614792,1.1261221170425415,0.0006211428994612328,0.8813036392228891,3.0305174969964996,0.008067403978202492,0.0153995489818044,0.011577252809729544,0.010407057008706033,6.686649977986235,3.877227455341199,1.4009795199963264,-1.0,-1.0,-1.0,0.013113969995174557,6.686649977986235,-1.0,135.0,512.0,0.0,0.0,0.0,0.0,0.021954114024993032,8.146770840976387,12.63864892302081,3.461801679804921e-05,,0.00017391599249094725,84.47551392699825,0.0001713099773041904,39.360361250990536,24.280801151995547,0.0,6.0,0.9737321138381958,0.48668110370635986,0.021456347778439522,0.04187591001391411,1.0
7,0.17326223850250244,0.07236756384372711,-0.04897777736186981,3e-06,53.69166946411133,11.348706245422363,15.056640625,0.0,0.0,-0.048977787140756845,0.0,1.4999977350234985,0.0489778034389019,-1.4999977350234985,1.4999977350234985,0.0489778034389019,-1.4999977350234985,1.399999976158142,0.7161132097244263,0.0,1.399999976158142,0.7161132097244263,0.0,5801.0,5800.0,6014.0,5800.5,5587.0,427.0,2.0,2.0,2.0,0.009607113796759974,0.010388456743444149,69.0554617996259,83.99770052701933,11601.0,0.0,161.0,119.125,95.0,0.0,0.0,455.0,243.40625,110.0,0.0,455.0,243.40625,110.0,3738202112.0,0.05913543701171875,0.005240742117166519,-0.01920844241976738,0.019405841827392578,-0.019405841827392578,-0.004087403416633606,-0.04853445291519165,0.9808188080787659,0.16562142968177795,1.1827994585037231,0.14621560275554657,1.1597591638565063,0.0006504993557894027,0.9542366697952521,3.439164795015197,0.007546443026512861,0.012284238007850945,0.010770452121505514,0.009899171011056751,5.970406872977037,3.338685545782937,1.5472512199776247,-1.0,-1.0,-1.0,0.012284238007850945,5.970406872977037,-1.0,142.0,455.0,0.0,0.0,0.0,0.0,0.02087582799140364,7.432549421035219,12.408452509029303,3.432802623137832e-05,,9.005301399156451e-05,83.99770052701933,0.00018978799926117063,39.8977507869713,24.210953194997273,0.0,7.0,0.9765706658363342,0.3665497303009033,0.02513463981449604,0.04325437173247337,1.0
8,0.15311217308044434,0.06485527753829956,0.04903919994831085,3e-06,53.79533004760742,11.348706245422363,15.056640625,0.0,0.0,0.04903922532685101,0.0,1.4999977350234985,-0.04903922975063324,-1.1019333600997925,1.4999977350234985,-0.04903922975063324,-1.1019333600997925,1.6749999523162842,0.796875,-1.0,1.6749999523162842,0.796875,-1.0,5556.0,5555.0,6376.0,5555.5,4735.0,1641.0,2.0,2.0,2.0,0.009224483882822728,0.009812791749941716,64.96413426641233,85.51641706202645,11111.0,0.0,116.0,106.75,95.0,0.0,0.0625,512.0,240.46875,74.0,0.0625,512.0,240.46875,74.0,120939272.0,0.05400216579437256,0.004661664832383394,-0.017946820706129074,0.018448995426297188,-0.017350850626826286,0.012332253158092499,-0.038046568632125854,0.9828518033027649,0.1521698534488678,1.1657456159591675,0.13481900095939636,1.145535945892334,0.0006411238412976523,1.0947657007145526,3.5822774430765145,0.007123527000658214,0.014476425014436245,0.010833155745785916,0.007023526995908469,6.978885659016669,3.424306161714412,1.0984037909656763,-1.0,-1.0,-1.0,0.012162198021542281,6.978885659016669,-1.0,114.0,512.0,0.0,0.0,0.0,0.0,0.01670413598185405,8.424222066998482,12.988878081960138,4.000798799097538e-05,,0.00016108003910630941,85.51641706202645,0.00011799397179856896,39.802684670023154,24.258140707970597,0.0,8.0,0.9754490852355957,0.3473879098892212,0.02390550635755062,0.04151418060064316,1.0
9,0.1466076374053955,0.21462716162204742,-0.08975883573293686,3e-06,53.7995719909668,11.348706245422363,16.66015625,0.0,0.0,-0.08975883293896914,0.0,1.4999977350234985,0.08975884318351746,-1.4999977350234985,1.4999977350234985,0.08975884318351746,-1.4999977350234985,2.0,0.7859375476837158,0.0,2.0,0.7859375476837158,0.0,5595.0,5595.0,5923.0,5595.0,5267.0,656.0,2.0,2.0,2.0,0.009388118796456135,0.010072831582125111,67.31759057259183,83.11349162098486,11190.0,0.0,138.0,108.375,88.0,0.0,0.0,402.0,241.3125,131.0,0.0,402.0,241.3125,131.0,7756538880.0,0.052127718925476074,0.005071613471955061,-0.01633620634675026,0.016018275171518326,-0.015830568969249725,0.0030032917857170105,-0.03582015633583069,0.9843385815620422,0.13998518884181976,1.1517424583435059,0.12415461987257004,1.133363962173462,0.0006733151045365724,0.9311874469101036,3.517930500716607,0.0075343960197642446,0.013573997013736516,0.010669562021575985,0.009051262983120978,5.714913303032517,3.517372899539623,1.9298784189741127,-1.0,-1.0,-1.0,0.010859044967219234,5.714913303032517,-1.0,108.0,402.0,0.0,0.0,0.0,0.0,0.021796412009280175,7.1906294650398195,12.333616770978551,3.9512000512331724e-05,,0.000140757008921355,83.11349162098486,0.00017830199794843793,39.36564230301883,24.174390833009966,0.0,9.0,0.9750849604606628,0.39204761385917664,0.022834450006484985,0.04177155718207359,1.0
10,0.18950830399990082,0.17494210600852966,0.03714906424283981,3e-06,53.811222076416016,11.348706245422363,16.66015625,0.0,0.0,0.037149068899452686,0.0,1.4999961853027344,-0.0371490903198719,-1.499996304512024,1.4999961853027344,-0.0371490903198719,-1.499996304512024,1.6749999523162842,0.5113281011581421,-1.0,1.6749999523162842,0.5113281011581421,-1.0,6375.0,6374.0,6411.0,6374.5,6338.0,73.0,2.0,2.0,2.0,0.010705908197568623,0.011349112785904426,75.07982586136902,84.9029673000332,12749.0,0.0,166.0,128.25,100.0,0.0,0.03125,512.0,270.15625,143.0,0.03125,512.0,270.15625,143.0,133238953607168.0,0.06596696376800537,0.006627855822443962,-0.020265914499759674,0.02001631259918213,-0.019959112629294395,0.0009151846170425415,-0.04486003518104553,0.9803165197372437,0.18213018774986267,1.204048752784729,0.16217109560966492,1.1795893907546997,0.0002903985407830795,1.0184141059547227,3.0877027618631567,0.0037022909964434803,0.011981455027125776,0.01022568803091417,0.008794623019639403,7.362546205986291,3.9692150768441934,2.133531970961485,-1.0,-1.0,-1.0,0.011080449039582163,7.362546205986291,-1.0,117.0,512.0,0.0,0.0,0.0,0.0,0.025179849995765835,8.804189945978578,12.483200823015068,3.380200359970331e-05,,0.00015845999587327242,84.9029673000332,0.00017545203445479274,39.36512251099339,24.2020877370378,0.0,10.0,0.9770225286483765,0.3983117938041687,0.02594316005706787,0.045382898300886154,1.0
11,0.1731010377407074,0.11414287984371185,0.06793073564767838,3e-06,53.8225212097168,11.348706245422363,16.66015625,0.0,0.0,0.06793074123561382,0.0,1.4999946355819702,-0.06793076545000076,-1.499996304512024,1.4999946355819702,-0.06793076545000076,-1.499996304512024,2.0,0.6594725847244263,-1.0,2.0,0.6594725847244263,-1.0,5972.0,5971.0,6324.0,5971.5,5619.0,705.0,2.0,2.0,2.0,0.010090568485909512,0.010586575448115775,70.44524067504966,84.76796931598801,11943.0,0.0,123.0,108.625,102.0,0.0,0.09375,512.0,264.59375,132.0,0.09375,512.0,264.59375,132.0,3839882240.0,0.06365394592285156,0.0057005262933671474,-0.02078358642756939,0.0203920379281044,-0.0203920379281044,-0.0038297176361083984,-0.043824732303619385,0.979853630065918,0.17180688679218292,1.1922497749328613,0.15141485631465912,1.16749906539917,0.0006104299589541777,1.0386814672220068,3.2766832646697117,0.007290364999789745,0.016101346001960337,0.011504118436278077,0.010157082986552268,7.3474344400456175,3.8922149752161204,1.9615022679790854,-1.0,-1.0,-1.0,0.011742533999495208,7.3474344400456175,-1.0,109.0,512.0,0.0,0.0,0.0,0.0,0.027555568958632648,8.794515982968733,12.548138472018763,4.931597504764795e-05,,0.00016945600509643555,84.76796931598801,0.0002134670503437519,39.13342822995037,24.23707121500047,0.0,11.0,0.9746134877204895,0.5022892951965332,0.02655855566263199,0.044358208775520325,1.0
