step,actor/entropy,actor/grad_norm,actor/kl_coef,actor/kl_loss,actor/loss,actor/lr,actor/perf/cpu_memory_used_gb,actor/perf/max_memory_allocated_gb,actor/perf/max_memory_reserved_gb,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,num_turns/max,num_turns/mean,num_turns/min,perf/mfu/actor,perf/mfu/actor_infer,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/log_ppl_abs_diff,rollout_corr/log_ppl_diff,rollout_corr/log_ppl_diff_max,rollout_corr/log_ppl_diff_min,rollout_corr/ppl_ratio,rollout_corr/rollout_log_ppl,rollout_corr/rollout_ppl,rollout_corr/training_log_ppl,rollout_corr/training_ppl,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/adv,timing_s/agent_loop/compute_score/max,timing_s/agent_loop/compute_score/mean,timing_s/agent_loop/compute_score/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/num_preempted/max,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/num_preempted/min,timing_s/agent_loop/slowest/compute_score,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/num_preempted,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/tool_calls/min,timing_s/dump_rollout_generations,timing_s/gen,timing_s/old_log_prob,timing_s/ref,timing_s/reward,timing_s/save_checkpoint,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/update_actor,timing_s/update_weights,training/epoch,training/global_step,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,training/rollout_probs_diff_valid
1,0.17582400143146515,0.13339246809482574,0.001,0.0,-0.03425458446145058,3e-06,51.09288787841797,11.204723834991455,13.349609375,0.0,0.0,-0.034254590049386024,0.0,1.499158263206482,0.03425460308790207,-1.4540942907333374,1.499158263206482,0.03425460308790207,-1.4540942907333374,2.0,0.5859375,0.0,2.0,0.5859375,0.0,6086.0,6085.0,6688.0,6085.5,5483.0,1205.0,2.0,2.0,2.0,0.010295963065697807,0.009964768336956503,58.47531233432034,104.06955956399906,12171.0,0.0,141.0,113.625,92.0,0.0,0.0,490.0,266.71875,33.0,0.0,490.0,266.71875,33.0,169759326208.0,0.05865895748138428,0.005685755051672459,-0.018111560493707657,0.01743471808731556,-0.01743471808731556,-0.00032073259353637695,-0.04226770997047424,0.9827672839164734,0.1630844622850418,1.1803460121154785,0.1456497609615326,1.1593719720840454,0.0007814756389831289,1.9715267690686988,0.8002539744448609,3.2124211898732544,0.009511340002063662,3.0160040199989453,0.4345015871185751,0.008518332033418119,10.787036877009086,7.774957820562122,4.830737761978526,-1.0,-1.0,-1.0,0.01057341496925801,10.787036877009086,-1.0,111.0,490.0,0.0,0.0,0.0,0.0,0.008289068005979061,16.826980974001344,13.618299821973778,9.739891122968402,3.2375974114984274e-05,,0.0001740260049700737,104.06955956399906,6.613199366256595e-05,39.09837830194738,24.744477709988132,0.0,1.0,0.9773635268211365,0.303602397441864,0.024453336372971535,0.043467745184898376,1.0
2,0.1582852154970169,0.10568089783191681,0.001,0.0017673387269496743,0.023500636219978333,3e-06,51.7380485534668,11.348706245422363,18.828125,0.0,0.0,0.0234988838869562,0.0,1.4999909400939941,-0.023498892784118652,-1.4999700784683228,1.4999909400939941,-0.023498892784118652,-1.4999700784683228,1.6749999523162842,0.546093761920929,0.0,1.6749999523162842,0.546093761920929,0.0,6550.0,6549.0,8153.0,6549.5,4946.0,3207.0,2.0,2.0,2.0,0.011015518539196844,0.011543898538811522,69.17411295453233,94.68137313600164,13099.0,0.0,136.0,124.5,105.0,0.0,0.0625,512.0,284.84375,86.0,0.0625,512.0,284.84375,86.0,3721468575744.0,0.05700719356536865,0.0057791839353740215,-0.017190614715218544,0.01632625237107277,-0.01632625237107277,-0.004253990948200226,-0.04476100206375122,0.9838422536849976,0.14934948086738586,1.1630396842956543,0.1330232322216034,1.1438227891921997,0.0005799396872120588,0.904637889630553,0.7445170562644662,3.004097203143636,0.007596629962790757,0.01249699603067711,0.010544629127252847,0.008429640030954033,6.825985013041645,3.8584382109384023,1.2429909040220082,-1.0,-1.0,-1.0,0.010783955047372729,6.825985013041645,-1.0,136.0,512.0,0.0,0.0,0.0,0.0,0.007762487977743149,8.245774363982491,12.626010723004583,9.752428920008242,3.4769997000694275e-05,,6.293499609455466e-05,94.68137313600164,6.206304533407092e-05,39.35066926397849,24.672496397048235,0.0,2.0,0.9741085767745972,0.4663517475128174,0.024025307968258858,0.04416815936565399,1.0
3,0.16966958343982697,0.14615018665790558,0.001,0.0015082103591339546,0.014914020895957947,3e-06,51.854942321777344,11.348706245422363,19.30078125,0.0,0.0,0.014912497834302485,0.0,1.4796549081802368,-0.014912513084709644,-1.4999960660934448,1.4796549081802368,-0.014912513084709644,-1.4999960660934448,1.6749999523162842,0.5890624523162842,0.0,1.6749999523162842,0.5890624523162842,0.0,5940.0,5939.0,6568.0,5939.5,5311.0,1257.0,2.0,2.0,2.0,0.009963931256432999,0.010765920749914502,62.224395768704035,95.45291563903447,11879.0,0.0,152.0,117.5,84.0,0.0,0.03125,512.0,253.71875,112.0,0.03125,512.0,253.71875,112.0,30262794240.0,0.061167120933532715,0.005591307766735554,-0.01971723511815071,0.019230050966143608,-0.019000057131052017,0.003679916262626648,-0.05061003565788269,0.9812399744987488,0.16118870675563812,1.176895260810852,0.1421886384487152,1.1543618440628052,0.0006336101509335266,0.9917060923735089,0.8170166837297062,3.3178362948081066,0.0075266549829393625,0.012275810993742198,0.01034169190825196,0.007060864008963108,6.620591351005714,3.491514370056393,1.6660164929926395,-1.0,-1.0,-1.0,0.011078005016315728,6.620591351005714,-1.0,152.0,512.0,0.0,0.0,0.0,0.0,0.023133251001127064,8.051661763980519,12.268554357986432,9.70534118602518,3.413698868826032e-05,,6.769300671294332e-05,95.45291563903447,0.00019012397387996316,39.4125773460255,25.963281495962292,0.0,3.0,0.9750076532363892,0.35939717292785645,0.025814374908804893,0.04408910498023033,1.0
4,0.21739794313907623,0.14438308775424957,0.001,0.001558348848902824,0.02860039472579956,3e-06,52.076019287109375,11.348706245422363,19.302734375,0.0,0.0,0.02859883476048708,0.0,1.4971750974655151,-0.028598833829164505,-1.4999977350234985,1.4971750974655151,-0.028598833829164505,-1.4999977350234985,2.0,0.758593738079071,0.0,2.0,0.758593738079071,0.0,6088.0,6087.0,6201.0,6087.5,5974.0,227.0,2.0,2.0,2.0,0.010174548302512536,0.010857780061124147,64.38439273843133,94.54931142600253,12175.0,0.0,179.0,120.25,93.0,0.0,0.03125,512.0,260.21875,82.0,0.03125,512.0,260.21875,82.0,1.515322444087296e+16,0.08032858371734619,0.007634464185684919,-0.02527574822306633,0.022380776703357697,-0.02197331376373768,0.006519392132759094,-0.05975189805030823,0.9783547520637512,0.18729417026042938,1.210573434829712,0.16532084345817566,1.1832854747772217,0.0006278156870842225,0.9774219858349068,0.8006547957283944,3.2498966382760974,0.007643655990250409,0.015729824954178184,0.011259097589572775,0.008342767949216068,6.714727365993895,3.520790685650354,1.1561305489740334,-1.0,-1.0,-1.0,0.011114937020465732,6.714727365993895,-1.0,179.0,512.0,0.0,0.0,0.0,0.0,0.022964421019423753,8.138992876047269,12.465249979984947,9.747972137993202,4.3064006604254246e-05,,0.0001623450079932809,94.54931142600253,0.00018874398665502667,39.56749157101149,24.578145546023734,0.0,4.0,0.9742071032524109,0.6335177421569824,0.030819371342658997,0.04919803515076637,1.0
5,0.1887884885072708,0.12025023251771927,0.001,0.0016519946811968111,-0.08574642241001129,3e-06,52.1147575378418,11.348706245422363,19.41796875,0.0,0.0,-0.08574807969853282,0.0,1.4984194040298462,0.08574806898832321,-1.4142118692398071,1.4984194040298462,0.08574806898832321,-1.4142118692398071,2.0,0.78125,0.0,2.0,0.78125,0.0,5548.0,5548.0,5556.0,5548.0,5540.0,16.0,2.0,2.0,2.0,0.009243257684550213,0.009881511598693651,59.21516383024997,93.6922173500061,11096.0,0.0,176.0,116.0,92.0,0.0,0.0,449.0,230.75,83.0,0.0,449.0,230.75,83.0,7522657767522304.0,0.06453967094421387,0.006442549638450146,-0.019677771255373955,0.01711648888885975,-0.017074335366487503,0.0006744526326656342,-0.05887278914451599,0.9831429123878479,0.17120258510112762,1.1922580003738403,0.15412822365760803,1.170888900756836,0.0006774390761276523,0.9840416244545473,0.8727482892927497,3.5746449811641168,0.00751686398871243,0.016254629008471966,0.010181066407312755,0.008688577974680811,5.8300499389879405,3.126337477180641,1.2071475249831565,-1.0,-1.0,-1.0,0.010046293027698994,5.8300499389879405,-1.0,92.0,449.0,0.0,0.0,0.0,0.0,0.021519470028579235,7.266163354972377,12.47454220597865,9.684015017992351,3.429001662880182e-05,,0.0001625560107640922,93.6922173500061,0.00017308397218585014,39.66426071099704,24.553322036052123,0.0,5.0,0.9762598872184753,0.28554293513298035,0.026804238557815552,0.045399293303489685,1.0
6,0.14042294025421143,0.14660361409187317,0.001,0.0016731933069422666,-0.027938392013311386,3e-06,52.09538269042969,11.348706245422363,19.41796875,0.0,0.0,-0.027940069907344878,0.0,1.4999977350234985,0.02794010378420353,-1.499997615814209,1.4999977350234985,0.02794010378420353,-1.499997615814209,1.6749999523162842,0.5374999642372131,0.0,1.6749999523162842,0.5374999642372131,0.0,6309.0,6308.0,6943.0,6308.5,5674.0,1269.0,2.0,2.0,2.0,0.010622923207662921,0.011162843150923142,66.48438300283775,94.88694510003552,12617.0,0.0,138.0,117.0,85.0,0.0,0.09375,512.0,277.28125,109.0,0.09375,512.0,277.28125,109.0,1414284416.0,0.05145537853240967,0.005105774849653244,-0.016056038439273834,0.016815539449453354,-0.016415324062108994,0.006403446197509766,-0.050388142466545105,0.9837655425071716,0.14140532910823822,1.153235912322998,0.12499001622200012,1.1343015432357788,0.00034833232618781544,0.9714843961454833,0.7739786947792455,3.1127504081775106,0.0043949089595116675,0.015012016985565424,0.010860188152946648,0.009464495989959687,7.16247222101083,3.839374787226916,1.5783011819585226,-1.0,-1.0,-1.0,0.010499810974579304,7.16247222101083,-1.0,138.0,512.0,0.0,0.0,0.0,0.0,0.0229762609815225,8.619981046998873,12.553008969000075,9.76528919202974,1.8972030375152826e-05,,0.00017599097918719053,94.88694510003552,0.00018059404101222754,39.27357189997565,24.63676421204582,0.0,6.0,0.9744623303413391,0.42904019355773926,0.02178056165575981,0.04168718308210373,1.0
7,0.1687411665916443,0.10495222359895706,0.001,0.0009042709571076557,0.024335257709026337,3e-06,52.30979919433594,11.348706245422363,19.41796875,0.0,0.0,0.024334357120096684,0.0,1.4999949932098389,-0.024334346875548363,-1.499994158744812,1.4999949932098389,-0.024334346875548363,-1.499994158744812,2.0,0.7124999761581421,0.0,2.0,0.7124999761581421,0.0,5755.0,5677.0,5722.0,5716.0,5710.0,12.0,2.0,2.0,2.0,0.009429151529815582,0.009885821864640102,59.2382605854164,96.49169208400417,11432.0,0.0,161.0,119.125,95.0,0.0,0.03125,512.0,238.125,86.0,0.03125,512.0,238.125,86.0,15817408512.0,0.05915260314941406,0.004736591596156359,-0.020259609445929527,0.02056410349905491,-0.02056410349905491,-0.006382539868354797,-0.046463459730148315,0.9796813726425171,0.16327276825904846,1.1790541410446167,0.1427086889743805,1.154956579208374,0.0003423622323892896,1.1244710887112506,0.88852427335602,3.5026022959239045,0.003913885040674359,0.01098798296879977,0.009683868314823485,0.006795208028052002,7.13153582502855,3.456407856558144,1.248471595987212,-1.0,-1.0,-1.0,0.010615945036988705,7.13153582502855,-1.0,142.0,512.0,0.0,0.0,0.0,0.0,0.011809985968284309,8.56846969597973,12.8427891980391,10.15760949300602,3.6297948099672794e-05,,0.00015300599625334144,96.49169208400417,8.888798765838146e-05,40.041749447002076,24.845730192027986,0.0,7.0,0.9761453866958618,0.2685889005661011,0.024840669706463814,0.042460355907678604,1.0
8,0.15961086750030518,0.17084890604019165,0.001,0.0011680005147809425,0.05855950713157654,3e-06,52.33034896850586,11.348706245422363,19.41796875,0.0,0.0,0.058558338321745396,0.0,1.4999977350234985,-0.05855831503868103,-1.4999977350234985,1.4999977350234985,-0.05855831503868103,-1.4999977350234985,2.0,0.8070312738418579,0.0,2.0,0.8070312738418579,0.0,5986.0,5986.0,6689.0,5986.0,5283.0,1406.0,2.0,2.0,2.0,0.00994619078391034,0.010562637329313064,62.43009849719386,95.883238119015,11972.0,0.0,116.0,106.75,95.0,0.0,0.125,512.0,267.375,104.0,0.125,512.0,267.375,104.0,28206024704.0,0.05821788311004639,0.004852543585002422,-0.019594093784689903,0.020140554755926132,-0.020140554755926132,-0.00014267116785049438,-0.03861795365810394,0.9801051616668701,0.15871180593967438,1.173211693763733,0.13857126235961914,1.1496374607086182,0.00043627564659024155,1.0344039550003308,0.8143082003857436,3.3238558251729047,0.005223092040978372,0.010758306016214192,0.009984712838559062,0.008555249019991606,7.466510390979238,3.904383866343778,1.5371555729652755,-1.0,-1.0,-1.0,0.01049608102766797,7.466510390979238,-1.0,114.0,512.0,0.0,0.0,0.0,0.0,0.02001125004608184,8.85036023898283,12.580766119004693,9.748897775018122,1.9458995666354895e-05,,8.118897676467896e-05,95.883238119015,9.004701860249043e-05,39.793201938970014,24.873312442039605,0.0,8.0,0.9752946496009827,0.2954813838005066,0.024606531485915184,0.0428633876144886,1.0
9,0.14820596575737,0.10733796656131744,0.001,0.001146436808994622,0.016421116888523102,3e-06,52.33677291870117,11.348706245422363,19.41796875,0.0,0.0,0.01641997555270791,0.0,1.4999977350234985,-0.01641996204853058,-1.4763137102127075,1.4999977350234985,-0.01641996204853058,-1.4763137102127075,2.0,0.9281250238418579,0.0,2.0,0.9281250238418579,0.0,5878.0,5877.0,6398.0,5877.5,5357.0,1041.0,2.0,2.0,2.0,0.009924045567332314,0.010488438030001794,61.90112259598778,94.94981275801547,11755.0,0.0,138.0,108.375,88.0,0.0,0.0,499.0,258.96875,122.0,0.0,499.0,258.96875,122.0,5759671205888.0,0.053517937660217285,0.004582663532346487,-0.017668507993221283,0.017019325867295265,-0.016833391040563583,0.0029749423265457153,-0.05267569422721863,0.9833851456642151,0.1399928331375122,1.1528728008270264,0.12315943837165833,1.1329076290130615,0.0006403147578889109,1.0290664791843616,0.8310395780535235,3.330439088730635,0.007526899978984147,0.014749634952750057,0.010318248125258833,0.008588953991420567,7.091595694015268,3.84723906065301,1.8036579089821316,-1.0,-1.0,-1.0,0.010799665004014969,7.091595694015268,-1.0,116.0,499.0,0.0,0.0,0.0,0.0,0.02439895097631961,8.527873913000803,12.44239242898766,9.768870240019169,3.556197043508291e-05,,8.313998114317656e-05,94.94981275801547,0.00017974298680201173,39.149311488028616,25.010068840987515,0.0,9.0,0.9766771197319031,0.35196125507354736,0.021976400166749954,0.0409526489675045,1.0
10,0.18443170189857483,0.14473405480384827,0.001,0.0018435726869938662,0.034868281334638596,3e-06,52.335693359375,11.348706245422363,19.41796875,0.0,0.0,0.034866439644247293,0.0,1.4999891519546509,-0.03486643731594086,-1.4999977350234985,1.4999891519546509,-0.03486643731594086,-1.4999977350234985,2.0,0.690625011920929,0.0,2.0,0.690625011920929,0.0,6544.0,6543.0,6821.0,6543.5,6266.0,555.0,2.0,2.0,2.0,0.010952913413041701,0.011656455044548195,68.78383113467959,95.13136869604932,13087.0,0.0,166.0,128.25,100.0,0.0,0.03125,512.0,280.71875,120.0,0.03125,512.0,280.71875,120.0,3231677153280.0,0.07144379615783691,0.006328999530524015,-0.02310461737215519,0.023617375642061234,-0.02321649342775345,0.003532327711582184,-0.06100311875343323,0.9771340489387512,0.1751653254032135,1.1948317289352417,0.15194883942604065,1.1666673421859741,0.0005824784141227738,1.0072703110312806,0.7518441034617565,3.020743851380482,0.007622895005624741,0.012014313950203359,0.009978659432817949,0.00830048299394548,7.604883871972561,4.180433006689782,1.8286660939920694,-1.0,-1.0,-1.0,0.010213339992333204,7.604883871972561,-1.0,117.0,512.0,0.0,0.0,0.0,0.0,0.023100885038729757,9.048309203993995,12.489902978006285,9.839383782004006,3.9116013795137405e-05,,0.00016045401571318507,95.13136869604932,0.00029577797977253795,39.53247478301637,24.168382428004406,0.0,10.0,0.9743642210960388,0.4043514132499695,0.026740992441773415,0.046603020280599594,1.0
